wijk,2014,2015,2016,2017,2018,code,stadsdeel
Burgwallen-Oude Zijde,263417.0,273525.0,289984.0,339548.0,400010.0,A00,Centrum
Burgwallen-Nieuwe Zijde,267895.0,281193.0,296762.0,351214.0,391011.0,A01,Centrum
Grachtengordel-West,490251.0,502230.0,560841.0,674610.0,755091.0,A02,Centrum
Grachtengordel-Zuid,469946.0,478371.0,531225.0,627625.0,697576.0,A03,Centrum
Nieuwmarkt/Lastage,295239.0,303500.0,340364.0,386716.0,438942.0,A04,Centrum
Haarlemmerbuurt,304924.0,311743.0,345189.0,403267.0,458522.0,A05,Centrum
Jordaan,270390.0,285877.0,307344.0,347740.0,402186.0,A06,Centrum
De Weteringschans,344649.0,359119.0,399942.0,458010.0,515192.0,A07,Centrum
Weesperbuurt/Plantage,307440.0,322276.0,353628.0,413388.0,473643.0,A08,Centrum
Oostelijke Eilanden/Kadijken,253990.0,256421.0,276481.0,316261.0,381774.0,A09,Centrum
Westelijk Havengebied,,189402.0,224491.0,,,B10,Westpoort
Houthavens,164263.0,167242.0,188360.0,349525.0,483318.0,E12,West
Spaarndammer- en Zeeheldenbuurt,207439.0,209713.0,222371.0,256300.0,322981.0,E13,West
Staatsliedenbuurt,209792.0,222070.0,241366.0,277214.0,325787.0,E14,West
Centrale Markt,259527.0,266771.0,291913.0,328441.0,396012.0,E15,West
Frederik Hendrikbuurt,220547.0,229457.0,248089.0,282776.0,338110.0,E16,West
Da Costabuurt,265643.0,266965.0,297765.0,339699.0,400998.0,E17,West
Kinkerbuurt,217788.0,225289.0,248384.0,291110.0,346255.0,E18,West
Van Lennepbuurt,211354.0,211052.0,234660.0,272741.0,322065.0,E19,West
Helmersbuurt,308715.0,309549.0,346461.0,401695.0,473981.0,E20,West
Overtoomse Sluis,270056.0,269836.0,298880.0,344820.0,409990.0,E21,West
Vondelbuurt,564043.0,595181.0,630566.0,754544.0,844347.0,E22,West
Sloterdijk,306402.0,281944.0,296372.0,369842.0,448161.0,E36,West
Landlust,176998.0,176092.0,188962.0,228885.0,277961.0,E37,West
