wijk;2014;2015;2016;2017;2018
A00 Burgwallen-Oude Zijde;263417;273525;289984;339548;400010
A01 Burgwallen-Nieuwe Zijde;267895;281193;296762;351214;391011
A02 Grachtengordel-West;490251;502230;560841;674610;755091
A03 Grachtengordel-Zuid;469946;478371;531225;627625;697576
A04 Nieuwmarkt/Lastage;295239;303500;340364;386716;438942
A05 Haarlemmerbuurt;304924;311743;345189;403267;458522
A06 Jordaan;270390;285877;307344;347740;402186
A07 De Weteringschans;344649;359119;399942;458010;515192
A08 Weesperbuurt/Plantage;307440;322276;353628;413388;473643
A09 Oostelijke Eilanden/Kadijken;253990;256421;276481;316261;381774
A Centrum;312164;323868;354077;410171;468857
B10 Westelijk Havengebied;;189402;224491;;
B Westpoort;191007;189402;224491;;
E12 Houthavens;164263;167242;188360;349525;483318
E13 Spaarndammer- en Zeeheldenbuurt;207439;209713;222371;256300;322981
E14 Staatsliedenbuurt;209792;222070;241366;277214;325787
E15 Centrale Markt;259527;266771;291913;328441;396012
E16 Frederik Hendrikbuurt;220547;229457;248089;282776;338110
E17 Da Costabuurt;265643;266965;297765;339699;400998
E18 Kinkerbuurt;217788;225289;248384;291110;346255
E19 Van Lennepbuurt;211354;211052;234660;272741;322065
E20 Helmersbuurt;308715;309549;346461;401695;473981
E21 Overtoomse Sluis;270056;269836;298880;344820;409990
E22 Vondelbuurt;564043;595181;630566;754544;844347
E36 Sloterdijk;306402;281944;296372;369842;448161
E37 Landlust;176998;176092;188962;228885;277961
E38 Erasmuspark;172560;171532;194418;233754;283329
E39 De Kolenkit;173068;175916;182309;219773;269738
E40 Geuzenbuurt;209517;206504;229124;272308;333029
E41 Van Galenbuurt;174317;174739;196805;232976;283882
E42 Hoofdweg eo;176288;177259;193554;232847;287465
E43 Westindische Buurt;218186;219466;247949;295618;358346
E75 Chassébuurt;209517;214799;241280;288036;346607
E West;215591;218716;238048;280953;337770
F11 Bedrijventerrein Sloterdijk;;;;;93104
F76 Slotermeer-Noordoost;143152;139528;139872;157018;192389
F77 Slotermeer-Zuidwest;141387;143197;143594;158871;191064
F78 Geuzenveld;165329;171886;171341;185583;220329
F79 Eendracht;230608;229317;240299;237948;270374
F80 Lutkemeer/Ookmeer;374106;368054;388082;430190;483447
F81 Osdorp-Oost;166038;166307;169012;183051;207884
F82 Osdorp-Midden;180221;181699;187561;197667;224934
F83 De Punt;154635;153818;158564;167009;188823
F84 Middelveldsche Akerpolder;260400;263399;279607;297287;332670
F85 Slotervaart-Noord;182114;185123;191417;220699;256603
F86 Overtoomse Veld;176233;176446;183992;208991;228524
F87 Westlandgracht;200633;191464;207142;218208;224161
F88 Sloter-/Riekerpolder;249379;251111;266544;290169;330616
F89 Slotervaart-Zuid;182114;179043;185007;198941;246413
F Nieuw-West;185476;186133;191843;207817;237257
K23 Zuidas;;466043;265945;303047;358804
K24 Oude Pijp;245656;254036;277590;334147;382467
K25 Nieuwe Pijp;232579;238217;261891;305668;360267
K26 Zuid-Pijp;225636;228441;262840;299994;355106
K44 Hoofddorppleinbuurt;234229;232791;263192;308149;355686
K45 Schinkelbuurt;240864;248310;260700;313400;359277
K46 Willemspark;590989;609908;648801;808360;914295
K47 Museumkwartier;591914;567512;618389;755109;860067
K48 Stadionbuurt;271540;271460;297906;345993;409450
K49 Apollobuurt;664230;664514;677933;839342;1003743
K52 Scheldebuurt;304350;310248;333869;403802;477590
K53 IJselbuurt;239304;235385;260950;310993;369276
K54 Rijnbuurt;230354;229718;251698;301239;350936
K59 Prinses Irenebuurt eo;509680;506697;509568;625081;745698
K90 Buitenveldert-West;254225;249529;261931;296458;373445
K91 Buitenveldert-Oost;238302;231585;241511;266394;330366
K Zuid;310739;315385;336537;401192;470831
M27 Weesperzijde;271297;275509;306506;367507;429196
M28 Oosterparkbuurt;216927;215454;237609;296108;351823
M29 Dapperbuurt;209223;216466;244155;289299;343221
M30 Transvaalbuurt;207479;204797;233221;283449;333393
M31 Indische Buurt-West;186301;188495;200048;253664;306433
M32 Indische Buurt-Oost;192071;192657;213074;251413;312058
M33 Oostelijk Havengebied;301131;315297;341516;377085;441577
M34 Zeeburgereiland/Nieuwe Diep;104568;123993;145825;150175;177096
M35 IJburg-West;310839;319688;335210;366179;402230
M51 IJburg-Zuid;272471;293659;301349;352869;394988
M55 Frankendael;219418;219283;228093;274148;318477
M56 Middenmeer;273773;275728;293793;356020;417857
M57 Betondorp;184462;185883;190501;230751;266711
M58 De Omval/Overamstel;155634;173995;153618;186082;218509
M Oost;239417;244580;258917;303507;354958
N60 Volewijck;150516;157332;159440;184154;212209
N61 IJplein/Vogelbuurt;158072;156395;170429;197581;235667
N62 Tuindorp Nieuwendam;173666;175622;184874;204509;231180
N63 Tuindorp Buiksloot;162989;169285;174508;194104;231942
N64 Nieuwendammerdijk/Buiksloterdijk;384397;387460;395063;439019;533710
N65 Tuindorp Oostzaan;170345;172054;179297;202216;241357
N66 Oostzanerwerf;190844;192289;195648;213785;251646
N67 Kadoelen;264759;267617;275296;299298;306344
N68 Waterlandpleinbuurt;160708;163369;173333;191231;226409
N69 Buikslotermeer;170804;150413;154881;177380;215792
N70 Banne Buiksloot;166502;168651;177431;191675;235716
N71 Noordelijke IJ-oevers-West;222297;246760;251052;243183;295055
N72 Noordelijke IJ-oevers-Oost;217582;211602;223900;168528;196081
N73 Waterland;428832;437326;442483;480514;565361
N74 Elzenhagen;;280083;287122;322014;387474
N Noord;179149;182635;188596;209959;244320
T92 Amstel III/Bullewijk;;;;78137;81201
T93 Bijlmer-Centrum (D,F,H);126373;123214;121273;135944;152427
