_source.text,_source.publication_date
"Het gaat beter, veel beter zelfs, dan voor de financiële crisis van 2008. Maar financiële instellingen zouden best nog wat meer werk mogen maken van het organiseren van tegenspraak in de eigen organisatie, concludeert Frans de Weert. En de Autoriteit Financiële Markten (AFM), waar De Weert hoofd van het expertisecentrum is, wil daar best een handje bij helpen. ||| De Weert doet met een team bij toezichthouder AFM onderzoek naar cultuur en gedrag in de financiële sector. Een lastig te definiëren begrip voor financiële instellingen, zegt hij. ""Het is de zachte kant van het toezicht, maar wel een belangrijke: als wij constateren dat er een ongezonde cultuur heerst bij een instelling, kan dat een aanwijzing zijn dat er meer aan de hand is.""||De AFM let al langer op cultuur en gedrag van instellingen, maar sinds anderhalf jaar richt een team zich specifiek op het onderwerp. Vandaag presenteert de toezichthouder het eerste onderzoek dat in de financiële sector is gedaan naar het omgaan met fouten van organisaties. Voelen medewerkers zich veilig genoeg om melding te doen als er iets misgaat? En wordt er lering getrokken uit misstappen?||De gedachte was lang: als er maar beleid is, komt het vanzelf goed||Het was niet altijd makkelijk om instellingen zover te krijgen om mee te werken aan het onderzoek, zegt senior toezichthouder Danny van Dijk van de AFM. ""Daar hebben we best wat moeite voor moeten doen. Instellingen worstelen al langer met de voor hen toch wat vage begrippen gedrag en cultuur.""||Volgens Van Dijk is het voor financiële instellingen nooit een probleem om goede intenties op papier te zetten. ""De gedachte was lang: als er maar beleid is, komt het vanzelf goed. Veel instellingen hebben geen idee hoe ze er praktisch invulling aan kunnen geven. Wij wel. We hebben ze kunnen overtuigen door ze handvatten te geven om daar iets mee te doen."" Uiteindelijk deden alle dertien organisaties die waren benaderd mee aan het onderzoek.||Uit wetenschappelijk onderzoek blijkt dat organisaties die open omgaan met fouten beter presteren, een hogere kwaliteit van dienstverlening hebben en meer ethisch gedrag vertonen, stelt de toezichthouder. Vooral dat laatste is het belang van de AFM, zegt De Weert, terwijl instellingen wellicht gemotiveerd raken door de betere prestaties. ""Dat zie ik echt als win-win, want zowel de bedrijven als de toezichthouder hebben er dan iets aan. En als instellingen intrinsiek gemotiveerd zijn, pakken ze het sneller op dan als wij regels maken die het voorschrijven.""||Inspiratie uit de luchtvaart||Die sterke hiërarchie zag je in de financiële sector van voor de financiële crisis ook wel. Dat willen we als toezichthouder doorbreken||Voor het onderzoek liet de toezichthouder zich inspireren door de luchtvaart. Na de vliegramp in 1977 op Tenerife - waarbij de copiloot mogelijk te weinig in durfde te gaan tegen zijn meerdere - kwam de luchtvaartsector met plannen om de sterke hiërarchie te doorbreken, en het leren van fouten voorrang te geven boven het afstraffen ervan.||""Die sterke hiërarchie zag je in de financiële sector van voor de financiële crisis ook wel. Dat willen we als toezichthouder doorbreken"", zegt Van Dijk. In samenwerking met de Universiteit Utrecht werd het onderzoek opgezet om de foutencultuur concreet en meetbaar te maken. Door te werken met benchmarks, waar instellingen kunnen zien hoe ze scoren ten opzichte van concurrenten, hoopt de AFM bedrijven extra motivatie te geven zich te verbeteren. Van Dijk: ""Je wilt in een ranglijstje niet onderaan staan.""||De manier waarop organisaties omgaan met fouten is maar één van de onderdelen van wat de AFM een 'gezonde organisatiecultuur' noemt. De komende tijd wil de toezichthouder, in overleg met de sector, verder onderzoek doen naar andere relevante onderwerpen.||Veel wil De Weert er nog niet over kwijt, maar het thema effectieve besluitvorming krijgt in elk geval aandacht, zegt hij. ""Denk dan aan vragen als: komen alle perspectieven op tafel bij het nemen van besluiten? Is er bijvoorbeeld gedacht aan het klantbelang, of handelt de instelling alleen in zijn eigen belang?""",2017-10-03T07:43:06
"Tijdens de Giro kan het regenen, sneeuwen en op bergtoppen zelfs vriezen. Niet de gewenste omstandigheden voor een wielrenner die op het Afrikaanse continent is geboren. Maar Froome (32) laat zich misschien verleiden omdat hij de eerste renner kan worden die achtereenvolgens de Tour de France, de Vuelta a Espana en de Giro d'Italia wint. De Giro is niet alleen bij Froome de enig ontbrekende grote ronde op zijn erelijst. Ook zijn werkgever Team Sky won nog nooit in Italië. Twee eerdere deelnames van Froome liepen uit tot een mislukking. In een eerder interview liet Froome al weten dat de vijfde eindoverwinning in de Tour de France prioriteit nummer een is in 2018. Vegni denkt dat de klassementsrenner het als enige in zich heeft om een dubbelslag te slaan in de Giro en Tour. ,,Maar hij moet het zelf wel echt willen. De motivatie moet uit hem komen,"" zegt Vegni tegen AP. Om Froome en zijn ploeg Sky te overtuigen van de Giro, die start in Israël, vinden aan het eind van het jaar nog gesprekken plaats tussen de partijen. Vegni denkt er niet aan om Froome te betalen zoals wel is gebeurd met Lance Armstrong in 2009. ,,Zulke renners hebben geen extra geld nodig. Ze hebben een plan, doel en motivatie nodig om deel te nemen aan de Giro."" Naast Froome heeft Vegni ook nog geen toezeggingen van Tom Dumoulin, Vincenzo Nibali of Fabio Aru gekregen voor volgend jaar. ,,Dat is niet erg. Onze focus ligt op Froome.""",2017-10-04T10:03:45
"De olympisch kampioen op de weg tijdens de Spelen van Peking in 2008 zou in augustus voor BMC van start gaan in de Ronde van Spanje. Hij werd in afwachting van de contra-expertise voorlopig geschorst. Sánchez reed sinds 2014 voor BMC. Daarvoor kwam hij uit voor Euskaltel. In de Tour de France van 2010 eindigde hij als tweede. In de Vuelta stond de renner twee keer op het podium, in 2009 (tweede) en 2007 (derde).",2017-10-05T00:13:32
",,Hij gaf mij met opzet een duw'', zegt Reichenbach in de Zwitserse krant Le Nouvelliste. ,,Meerdere renners hebben het zien gebeuren en kunnen getuigen. De gevolgen hadden veel erger kunnen zijn. Mijn ploeg heeft me aangespoord om een klacht in te dienen."" Volgens Reichenbach was het zelfs kwade opzet. Hij speelde dit jaar een rol in de schorsing die Moscon kreeg na het maken van racistische opmerkingen tijdens de Ronde van Romandië. ,,Dit is een afrekening voor mijn tweet, die tot zijn schorsing leidde. Maar ik had hem toen niet eens bij naam genoemd."" Moscon liet in de Gazetta dello Sport weten dat Reichenbach onzin kletst. ,,We reden op een stuk ruw wegdek en zijn handen gleden van het stuur.''",2017-10-04T12:15:07
,2017-10-07T15:30:00
"Op de foto die de moeder in spé met haar Instagram-volgers deelt, is te zien hoe Saar haar buik vasthoudt. Haar gezicht is voorzien van een trotse glimlach. Koningsberger maakte begin september  bekend  dat er een kindje op komst is. Hierbij meldde ze al 2,5 jaar bezig te zijn om zwanger te worden. ,,Het was een lange weg met vele hobbels en eindeloos veel bezoeken aan het ziekenhuis en hormoonbehandelingen, maar het is ons gelukt.'' Saar is bekend van de film  De Schippers van de Kameleon.  Van 2007 tot 2010 was de brunette presentatrice bij de televisiezender TMF.",2017-10-09T13:53:22
"Eerlijk is eerlijk: hij is best een beetje nerveus. Niet omdat Rowan bang is dat Gaia hem niet meer zal herkennen. Het is al wel een paar keer tot een toevallige ontmoeting gekomen sinds ze een jaar of tien geleden alweer afscheid namen van The Lion King en afscheid namen van elkaar. Maar toch, het is niet niks om na zoveel tijd terug te keren naar het AFAS Circustheater waar de huidige videoredacteur van het AD toch drie jaar van zijn jeugd heeft doorgebracht. Gaia op haar beurt heeft van zenuwen geen last. Hooguit is er de gezonde spanning van het besef dat er over anderhalf uur weer een nieuwe voorstelling van The Lion King gaat beginnen. Waarin ze vandaag op de kop af een jaar lang de rol van de volwassen Nala speelt. En ze weet wel dat ze zo in haar kleedkamer wordt geïnterviewd, maar niet door wie. Dus rolt het ‘binnen’ er geroutineerd uit na drie voorzichtige klopjes op de deur. Haar eerste reactie verraadt vooral verwarring: ‘Hi! Nou... Wat leuk! Hoe gaat het?’ Om er na een korte adempauze lachend aan toe te voegen: ‘Ik ben helemaal geshockeerd. Zo leuk!’ Een spontane omhelzing later kruipen ze naast elkaar op het tweezitsbankje in haar kleedkamer. En is het ijs gebroken. Eerst is het Gaia die de vragen stelt. Dat Rowan na afloop van zijn kinderrollen (hij speelde ook nog in de musicalklassieker Elisabeth) op een theaterschool terechtkwam waar het hem steeds vaker overkwam dat hij door plankenkoorts werd bevangen... ja, dat wist ze al wel. Maar niet dat hij zichzelf opnieuw had uitgevonden met een rol meer achter de schermen - als maker onder meer van nieuwsvideo’s voor de onlineredactie van AD Haagsche Courant. Gaia: ,,Ik kan me het best voorstellen hoor, faalangst. Ik denk dat het iedereen weleens overkomt. Ik heb het zelfs ook soms. Twijfel hoort erbij. Maak ik nog wel vorderingen? Sta ik stil? Ga ik achteruit zelfs? Want het wordt steeds moeilijker om te voldoen aan een verwachtingspatroon dat steeds hoger wordt. Als kind heb je daar nog geen last van. Dan spring je ook gewoon over hekjes zonder te denken: ‘ik kan wel wat breken’. Voor mij waren twijfels telkens weer een aansporing om nog harder te werken. Dan is het goed. Maar als het je verlamt, gaat het aan je vreten. Dan is het alleen maar heel verstandig om iets te gaan doen waarin je op een andere manier je talenten kunt ontplooien.’’ Tekst loopt door onder de foto's. Flashbacks Als vanzelf schiet Rowan vervolgens in de rol van gespreksleider. Hoe voelt dat nou, wil hij weten, om zoveel jaar later in dezelfde musical een volwassen Nala te spelen en tegelijkertijd een andere 12- of 13-jarige haar vroegere kinderrol te zien spelen? ,,Dan krijg ik vanzelf flashbacks’’, lacht ze. ,,En dan denk ik: misschien groeit die kleine Nala van nu in een volgende productie over een jaar of tien ook wel uit tot de volwassen leeuwin die doet wat ik nu doe.’’ De kinderen domineren in de voorstelling het deel vóór de pauze; pas daarna nemen hun volwassen versies (gespeeld dus door Gaia en Naidjim Severina) het stokje over in het spannende en oogstrelend vormgegeven avontuur van Goed tegen Kwaad. ,,Wat ik dan doe in het eerste bedrijf? Dat verschilt. Maar altijd zorg ik ervoor om bij het openingsnummer The Circle of Life ergens verdekt in de coulissen een stukje van de show mee te pikken. Want vooral dat begin bezorgt me na ik weet niet hoeveel voorstellingen nog steeds kippenvel. Binnen twee seconden zit je voor je gevoel midden op de savannen in Afrika’’ Tussendoor bestoken de kinderen die nu afwisselend de kleine Nala spelen haar met vragen. Gaia: ,,Zo werkt dat hè. Ik ben nu toch hun voorbeeld. Net zoals dat 13 jaar geleden ook voor mij gold toen Carolina Dijkhuizen mijn grote voorbeeld was. Carolina was in die tijd echt mijn theater-mamma. Als ik bijvoorbeeld bang was voor de scène op het olifantenkerkhof stelde zij mij op mijn gemak. Toch durfde ik toen nog niet te dromen dat ik ooit in haar voetsporen zou treden en dat ik hier later opnieuw in ‘haar’ volwassen rol zou staan. Want dat was nog nooit vertoond. Ik was de eerste die dat heeft mogen meemaken. Wereldwijd. Nog steeds moet ik mezelf af en toe in mijn arm knijpen. Zo bizar.’’ Zoals gezegd: precies een jaar staat ze daar nu weer. Avond aan avond. Acht tot negen voorstellingen per week. ,,Ja het is zwaar’’, geeft ze tegenover Rowan toe. ,,Maar als je bezig bent met je passie dan valt het wel mee. Dan ben je alleen maar blij dat je de kans krijgt om  in de grootste Disney-musical van deze tijd te spelen. Zolang het goed gaat, voel je geen pijntjes.’’ Tekst loopt door onder de foto's Onbevangen Samen met Rowan bekijkt Gaia de foto’s die ze zelf op de achterwand van haar make-up tafel heeft geplakt. Waarna haar vroegere tegenspeler haar verrast met een door hem ingelijst portret van hun samen - de armen om elkaar heen geslagen, onbevangen de camera inkijkend. ,,Hahaha’’, lacht Gaia. Zichtbaar geroerd: ,,Die krijgt een mooi plekje hier. Mijn puppy love!’’ We gaan het niet mooier maken dan het is, want inmiddels is Gaia alweer vier jaar gelukkig met haar vriend. Een vriend die trouwens helemaal buiten de musicalwereld staat. ,,Dat hij iets heel anders doet is ook wel weer fijn. Het voorkomt dat je je werk te veel mee naar huis neemt. Het gaat er maar om dat je elkaar snapt en dat je elkaar steunt als de ander het nodig heeft.’’ Rowan is er dan even tussenuit geglipt. Hij houdt van zijn huidige werk, zal hij later uitleggen, maar kon het toch even niet laten: ,,Ik moest dat toneel op. Dat kon, er was nog geen publiek. Wat ik deed? Beetje terugdenken aan vroeger. Ik stelde me voor dat er steeds meer mensen naar binnen kwamen. En het gekke was: ik voelde geen enkele angst. Kreeg zomaar ineens weer zin om te spelen. Kom maar op! Dat was het enige wat ik dacht.’’",2017-10-10T04:06:27
"Het gebeurt begin jaren 80 in New York. Willeke van Ammelrooy is in de race voor een Amerikaanse film. Ze zoeken een actrice, groot van stuk en sexy, en het personage ‘moest van een andere planeet komen’, zegt de actrice nu. ,,Het moest een onbekende vrouw zijn. Nou, niemand kende mij, dus…” Van Ammelrooy, de 30 gepasseerd, leest het script, spreekt met betrokkenen en laat zich informeren over haar Engels (‘Was dat goed genoeg?’). ,,Ik moest alleen nog even bij de producent komen, een beroemde producent”, herinnert de 73-jarige actrice zich. ,,Het was een heel hoog gebouw. We zijn in zo’n kantoortje. Hij doet de gordijntjes dicht, haalt zijn piemel tevoorschijn en zegt: maak ‘m eens groot. Nou, toen dacht ik bij mezelf: oh, dat is toch waar hier.” Willeke van Ammerooy staat niet te kijken van de beschuldigingen aan het adres van Harvey Weinstein, één van de meest succesvolle producenten in de geschiedenis. Niet dat ze hem persoonlijk kent, maar ‘dit is van alle tijden’, benadrukt ze. Weinstein, betrokken bij onder meer  The English Patient ,  Pulp Fiction  en  Shakespeare in Love , werd afgelopen weekend ontslagen door de filmmaatschappij die hij mede heeft opgezet. Hij wordt beschuldigd van seksuele intimidatie, onder meer door oud-medewerksters en actrices. De  New York Times  bracht het balletje aan het rollen. Volgens de krant hadden actrices Ashley Judd en Rose McGowan een ongewenste seksuele ervaring met Weinstein, die zijn excuses aanbood. ,,In de jaren 60 en 70 waren de regels over gedrag en werkplekken anders. Dat was de cultuur toen”, zei de producent die beloofde in therapie te gaan. Weinstein gold jarenlang gold als een van de machtigste mannen van Hollywood en werd door veel acteurs en actrices op handen gedragen. Bij de uitreiking van de Golden Globes in 2012 noemde Meryl Streep hem nog gekscherend ‘God’. De 68-jarige actrice gaf gisteren een verklaring in  The Huffington Post . ,,Niet iedereen wist ervan. Harvey steunde mijn werk. Hij dreef mij soms tot razernij, maar was altijd respectvol in zijn samenwerking met mij en anderen”, zei Streep, die zijn gedrag veroordeelde: ,,Onvergeeflijk, maar misbruik van macht is een bekend verschijnsel.” Macht ,,Triest en heel naar”, vervolgt Van Ammelrooy. ,,Er schijnt iets te gebeuren als mensen macht krijgen. Iets fouts. Op de toneelschool vroeger ging er al een verhaal rond van een groot acteur. Als jonge actrices voor het eerst met hem op toneel moesten, was het eerste wat hij zei:  ‘Doe die rok eens omhoog.’ En die allereerste Nederlandse producent zal ik ook nooit meer vergeten. Of ik mijn jas wilde uittrekken. Toen wist ik het al. ‘U wilt gewoon mijn borsten zien’, zei ik. ‘Kijken hoe groot ze zijn. Nou, ze zijn groot, daaaag.’ Vreselijk hoe je je dan voelt.” Als Harvey Weinstein schuldig is, ‘moet hij op zijn lazer krijgen’, vindt Van Ammelrooy. ,,Kijk, ik was mondig, dat móet je zijn. Strijdbaar, het niet toelaten.” Hoe het afliep?  ,,Ik zei: nou, meneer, dáár ben ik niet voor gekomen. Kunt u geld geven voor een taxi?”",2017-10-09T17:37:44
"Tussen museumstukken als tanks, helikopters en vliegtuigen komt op 13, 14 en 15 oktober in het Nationaal Militair Museum (NMM) de toekomst tot leven. Wargames, een ||| waterstofauto||en een||exoskelet||dat het dragen van een zware rugzak verlicht zijn slechts enkele voorbeelden waarmee bezoekers de allerlaatste ontwikkelingen op het gebied van militaire techniek krijgen voorgeschoteld tijdens ‘||Science for Humanity||’.||Daarbij blijft het niet bij kijken. Bezoekers steken tijdens workshops zelf de handen uit de mouwen door bijvoorbeeld aan de hand van de allernieuwste technologieën een marineschip te ontwerpen. Ook zijn er verschillende interessante TechtTalks waarin partijen vertellen over hun toekomstplannen.||Loopgraven||Conservator Alfred Staarman van het NMM vindt het prachtig dat zijn museum even in het teken staat van wat de toekomst gaat bieden. „Normaal gesproken blikken we hier terug op de ontwikkelingen uit het verleden. Als ik met bezoekers langs een tank loop, leg ik uit dat dat ook het resultaat was van innovatie. Dan zeggen ze vaak: maar het is toch heel oud materiaal? Nu wel, maar toen moest er iets bedacht worden waarmee over loopgraven gereden kon worden. Innovatie dus. Daarom vind ik het tof dat we in ons museum tijdens ‘Science for Humanity’ ook de ontwikkelingen van de toekomst in huis halen.”||Hij verheugt zich het meest op een elektrisch vliegtuig dat tentoongesteld wordt. „Moet je je voorstellen dat we kunnen vliegen op zonne-energie. Dan zijn we echt een grote stap verder.”||Belangrijker||Om al het nieuwe materieel bij Defensie te ontwerpen en te onderhouden zijn mensenhanden en hersenen nodig. Waar voorheen het beeld bestond dat je bij Defensie alleen maar met een geweer in je hand het veld in moest, daar loopt nu de technologie voorop. „Vroeger stond alles in dienst van die man of vrouw met het geweer”, aldus luitenant ter zee Erik Noordam. „Nu komt het geregeld voor dat zij tijdens een inlichtingenoperatie ondersteunend moeten zijn. Het gaat om het teamgevoel waarbij de vooruitsnellende technologie een steeds belangrijkere rol speelt. Vroeger was een pantservoertuig een stuk staal op rupsbanden met bovenop een geweer. Nu is het een technisch hoogstandje.”||Vandaar dat een dag voorafgaand aan ‘Science for Humanity’ in het NMM de Defensie Job Experience (||meld je hier aan||) wordt georganiseerd. Tijdens deze middag op vrijdag 13 oktober kunnen studenten en geïnteresseerden die werkzaam zijn in de techniek of ICT alles ontdekken over uitdagende banen bij als burgermedewerker of militair bij Defensie. Daarnaast zien ze wat de mogelijkheden zijn om een bijdrage aan de organisatie te leveren in de rol van reservist of werkstudent.||„Naast 40.000 militairen werken er ruim 15.000 burgermedewerkers bij Defensie”, zegt Bastiaan Knip, verantwoordelijk voor recruitment bij de Defensie Materieel Organisatie. „We hebben er op dit moment maar liefst 800 nodig. De functies lopen heel erg uiteen op het gebied van bijvoorbeeld||ICT||, elektronica, logistiek en projectmanagement.”||In het NMM hoeven de bezoekers niet alleen te luisteren naar wat Defensie te bieden heeft. Knip: „Sterker nog, ze kruipen juist in de rol van een reporter. In die hoedanigheid vragen ze mensen van Defensie en haar partners uit het onderwijs en bedrijfsleven die hun innovatie pitchen het hemd van het lijf. Daarna kunnen ze hun gescoorde primeurs via Instagram en Facebook delen. In combinatie met workshops, interactieve spellen en challenges kunnen ze zien wat voor Hi-Tech-carrières er bij Defensie mogelijk zijn.”||Maatschappelijke bijdrage||Knips collega Noordam merkt in zijn rol van programmanager bij het Defensity College dat jongeren steeds vaker geïnteresseerd zijn in een technische (bij)baan bij Defensie. „Studenten zien meer en meer het belang van veiligheid in en welke maatschappelijke bijdrage zij daaraan kunnen leveren. Bovendien krijgen ze de kans om onderdeel deel uit te maken van unieke projecten die ze alleen bij Defensie vinden.”||Dergelijke zaken komen ook terug in het Nationaal Militair Museum, waar een onderdeel als||cybercrime||uiteraard wel lastig tentoon te stellen is. „Gelukkig komen er mensen die er heel goed over kunnen vertellen”, zegt conservator Staarman. „Het is interessant om te zien hoe dat dergelijke ontwikkelingen steeds minder zichtbaar zijn. Terwijl er aan de andere kant juist weinig is veranderd. Zo sprak ik laatst iemand die tijdens de Koude Oorlog spionnen had opgeleid. Het afluisteren en mensen op het verkeerde been zetten met desinformatie doet men nu nog steeds, alleen is de techniek erachter veranderd. Prachtig om de bezoekers van ons museum te kunnen laten beleven wat technologische ontwikkelingen betekenen voor de wereld om ons heen.”",2017-10-06T05:15:41
"Isa heeft het niet makkelijk gehad na de dood van haar Antonie. Ze zegt tegen Johnny dat ze bijna zeven jaar lang in een overlevingsmodus zat om haar kinderen Merlijn en Vlinder te beschermen. ,,De leeuwin in mij werd in 2010 wakker, zo van 'wij gaan het gewoon redden met z'n drieën. Niemand krijgt ons eronder, wij gaan leven'. En dat mag gewoon weer anders nu. Ik voelde dat ik daar behoefte aan had. Ik wil het gewoon anders. Niet meer zo hard werken."" De periode voordat Antonie een eind aan zijn leven maakte was pittig. Hij was depressief. ,,Het was misschien nog wel pittiger, omdat daar heel veel angst bij zat. Altijd maar gefocust zijn op hoe het gaat. Als je wakker wordt bij wijze van spreken al kijken of zijn gezicht oké staat."" Maar twee maanden geleden werd het voor Isa ook weer even teveel. ,,Mijn lichaam gaf al een tijdje heel veel aan, maar dat hoorde ik niet. Ik heb al jaren last van krampen. Twee maanden geleden kreeg ik er echt erg last van en viel ik flauw. Toen dacht ik twee dingen. Ik dacht 'het kan' en ik dacht 'eindelijk helemaal niks, wat fijn'. Ik ben gaan liggen en eigenlijk begon ik toen meteen te huilen en dat hield niet op. Ik deed de gordijnen dicht en toen dacht ik o ja, dit is misschien wel een beetje een soort van depressie."" Beschermmodus Johnny vraagt zich af hoe aan je kinderen vertelt dat hun vader er niet meer is. Isa moest het haar vijf-jarige dochter vertellen. ,,Dat vond ik echt het allerergste. Dat vond ik zó moeilijk. Het enige wat ik dacht was wat ga ik m'n dochter zeggen? Ik ben meteen in die modus gestapt."" Isa zegt dat ze gelijk aan de telefoon hing met stichting Korrelatie. ,,Ik had pen en papier voor me liggen omdat ik dacht dat ik niet helemaal helder was."" Ze kreeg het advies om tegen Vlinder te zeggen 'Papa is dood'. Die avond lag Isa in bed. ,,Ik zag Antonie en mij. We waren om elkaar heen aan het draaien. Toen zei ik 'ga maar, het is oké' en toen liet ik hem los. Hij viel uit beeld en toen dacht ik 'het is goed'. Hoe bizar is dat?"" De volgende ochtend heeft Isa het aan haar kinderen verteld. ,,Vlinder was zo klein, het was voor haar zo raar. Binnen tien minuten vroeg ze 'zullen we naar beneden? Zullen we zwemmen?'. Toen zijn we dat gaan doen. Vlinder zei toen heel snel 'ik wil wel een nieuwe papa'."" Maar Merlijn zei dat er echt geen nieuwe vader in kwam. Isa zei tegen de kinderen dat er nooit een nieuwe papa zou komen, omdat ze maar één vader hebben. ,,Maar mama blijft niet lang alleen. Dat is niet helemaal gelukt"", zegt Isa lachend.",2017-10-09T20:02:01
